Model,Method,Accuracy,AUC
Logistic Regression,GridSearch,0.9016393442622951,0.9577922077922079
Decision Tree,GridSearch,0.7540983606557377,0.783008658008658
Random Forest,GridSearch,0.8360655737704918,0.9415584415584415
SVM,GridSearch,0.8852459016393442,0.9599567099567099
Logistic Regression,RandomSearch,0.9016393442622951,0.9588744588744589
Decision Tree,RandomSearch,0.7540983606557377,0.783008658008658
Random Forest,RandomSearch,0.8688524590163934,0.9372294372294372
SVM,RandomSearch,0.8688524590163934,0.9583333333333333
